Points_0,Points_1,Points_2,TI,U_0,U_1,U_2,U_Magnitude,k,p
-579.6,-857.51,90.314,0.0800925,8.00403,-0.0024192,0.000724143,8.00403,0.615821,0.127378
-567,-857.51,90.314,0.0800922,8.00411,-0.00249881,0.000748847,8.00411,0.615818,0.126658
-554.4,-857.51,90.314,0.080092,8.0042,-0.00258035,0.000773742,8.0042,0.615814,0.125898
-541.8,-857.51,90.314,0.0800917,8.00429,-0.00266373,0.000798775,8.00429,0.61581,0.125095
-529.2,-857.51,90.314,0.0800914,8.00438,-0.00274896,0.00082407,8.00438,0.615805,0.124248
-516.6,-857.51,90.314,0.0800911,8.00448,-0.00283584,0.000849413,8.00448,0.615801,0.123355
-504,-857.51,90.314,0.0800908,8.00459,-0.00292417,0.000874921,8.00459,0.615796,0.122415
-491.4,-857.51,90.314,0.0800905,8.0047,-0.003014,0.000900559,8.0047,0.61579,0.121427
-478.8,-857.51,90.314,0.0800901,8.00482,-0.00310511,0.000926246,8.00482,0.615785,0.120388
-466.2,-857.51,90.314,0.0800897,8.00495,-0.00319742,0.000951962,8.00495,0.615779,0.119299
-453.6,-857.51,90.314,0.0800893,8.00508,-0.00329084,0.000977666,8.00508,0.615772,0.118157
-441,-857.51,90.314,0.0800889,8.00522,-0.00338526,0.00100331,8.00522,0.615766,0.116962
-428.4,-857.51,90.314,0.0800884,8.00537,-0.00348053,0.00102889,8.00537,0.615759,0.115711
-415.8,-857.51,90.314,0.0800879,8.00552,-0.00357653,0.00105434,8.00552,0.615751,0.114405
-403.2,-857.51,90.314,0.0800874,8.00568,-0.00367311,0.00107962,8.00568,0.615743,0.113041
-390.6,-857.51,90.314,0.0800869,8.00584,-0.00377011,0.00110463,8.00584,0.615735,0.111619
-378,-857.51,90.314,0.0800863,8.00602,-0.00386735,0.00112937,8.00602,0.615727,0.110138
-365.4,-857.51,90.314,0.0800857,8.0062,-0.00396466,0.00115378,8.0062,0.615718,0.108596
-352.8,-857.51,90.314,0.0800851,8.00639,-0.00406181,0.00117783,8.00639,0.615708,0.106994
-340.2,-857.51,90.314,0.0800845,8.00658,-0.00415865,0.00120147,8.00658,0.615699,0.105331
-327.6,-857.51,90.314,0.0800838,8.00679,-0.00425489,0.0012247,8.00679,0.615689,0.103606
-315,-857.51,90.314,0.0800832,8.007,-0.00435036,0.0012474,8.007,0.615678,0.101819
-302.4,-857.51,90.314,0.0800825,8.00721,-0.00444478,0.00126962,8.00722,0.615667,0.0999703
-289.8,-857.51,90.314,0.0800817,8.00744,-0.00453793,0.00129118,8.00744,0.615656,0.0980596
-277.2,-857.51,90.314,0.080081,8.00767,-0.00462956,0.00131219,8.00768,0.615644,0.0960879
-264.6,-857.51,90.314,0.0800802,8.00791,-0.00471937,0.00133245,8.00792,0.615632,0.0940553
-252,-857.51,90.314,0.0800794,8.00816,-0.00480716,0.00135204,8.00816,0.61562,0.0919634
-239.4,-857.51,90.314,0.0800786,8.00842,-0.00489256,0.00137081,8.00842,0.615607,0.0898129
-226.8,-857.51,90.314,0.0800777,8.00868,-0.00497541,0.00138872,8.00868,0.615594,0.0876058
-214.2,-857.51,90.314,0.0800768,8.00895,-0.00505531,0.00140583,8.00895,0.615581,0.085344
-201.6,-857.51,90.314,0.0800759,8.00922,-0.00513204,0.00142188,8.00923,0.615567,0.0830291
-189,-857.51,90.314,0.080075,8.00951,-0.00520528,0.00143723,8.00951,0.615552,0.0806646
-176.4,-857.51,90.314,0.080074,8.00979,-0.00527468,0.00145145,8.0098,0.615538,0.078251
-163.8,-857.51,90.314,0.080073,8.01009,-0.00534001,0.00146491,8.01009,0.615522,0.0757921
-151.2,-857.51,90.314,0.080072,8.01039,-0.00540091,0.0014773,8.01039,0.615507,0.0732883
-138.6,-857.51,90.314,0.080071,8.01069,-0.00545706,0.00148882,8.01069,0.615491,0.0707432
-126,-857.51,90.314,0.0800699,8.011,-0.00550824,0.00149919,8.011,0.615475,0.0681583
-113.4,-857.51,90.314,0.0800689,8.01132,-0.00555413,0.00150858,8.01132,0.615458,0.0655374
-100.8,-857.51,90.314,0.0800677,8.01164,-0.00559458,0.00151673,8.01164,0.615441,0.0628831
-88.2,-857.51,90.314,0.0800666,8.01196,-0.00562927,0.00152375,8.01196,0.615423,0.0601996
-75.6,-857.51,90.314,0.0800654,8.01228,-0.0056581,0.00152949,8.01229,0.615405,0.0574904
-63,-857.51,90.314,0.0800642,8.01261,-0.00568078,0.00153395,8.01262,0.615387,0.0547596
-50.4,-857.51,90.314,0.080063,8.01294,-0.00569731,0.0015371,8.01295,0.615369,0.0520115
-37.8,-857.51,90.314,0.0800618,8.01328,-0.00570732,0.0015389,8.01328,0.615349,0.0492507
-25.2,-857.51,90.314,0.0800605,8.01361,-0.00571096,0.00153924,8.01361,0.61533,0.0464815
